tissue	cell_type_group	cl_ids_grouped	gene_ensembl	gene_soma_joinid	total_cells	pos_cells	pct_pos	mean_logCPTT_pos_dataset_avg	mean_logCPTT_allcells_dataset_avg
breast	luminal_mammary_epithelial_cell	CL:0002326,CL:4033057,CL:4033058	ENSG00000068366	5408	661862	16834	2.543431	1.400189	0.073073
breast	urothelial_cell	CL:0000731,CL:1001428,CL:1000486,CL:1000703,CL:4030055,CL:4030056	ENSG00000068366	5408	0	0	0.000000	0.000000	0.000000
breast	cd4_tcell	CL:0000624,CL:0000492,CL:0000896,CL:0000792,CL:0000895,CL:0000897,CL:0000934,CL:0001043,CL:0001044,CL:0000545,CL:0000546,CL:0000899,CL:0001042,CL:0002038,CL:0000903,CL:0000904,CL:0000905,CL:0002677,CL:0002678,CL:4033038	ENSG00000068366	5408	44645	314	0.703326	1.704518	0.098163
blood	luminal_mammary_epithelial_cell	CL:0002326,CL:4033057,CL:4033058	ENSG00000068366	5408	0	0	0.000000	0.000000	0.000000
blood	urothelial_cell	CL:0000731,CL:1001428,CL:1000486,CL:1000703,CL:4030055,CL:4030056	ENSG00000068366	5408	0	0	0.000000	0.000000	0.000000
blood	cd4_tcell	CL:0000624,CL:0000492,CL:0000896,CL:0000792,CL:0000895,CL:0000897,CL:0000934,CL:0001043,CL:0001044,CL:0000545,CL:0000546,CL:0000899,CL:0001042,CL:0002038,CL:0000903,CL:0000904,CL:0000905,CL:0002677,CL:0002678,CL:4033038	ENSG00000068366	5408	1350506	3975	0.294334	1.553375	0.082421
ureter	luminal_mammary_epithelial_cell	CL:0002326,CL:4033057,CL:4033058	ENSG00000068366	5408	0	0	0.000000	0.000000	0.000000
ureter	urothelial_cell	CL:0000731,CL:1001428,CL:1000486,CL:1000703,CL:4030055,CL:4030056	ENSG00000068366	5408	24813	2837	11.433523	0.624600	0.159804
ureter	cd4_tcell	CL:0000624,CL:0000492,CL:0000896,CL:0000792,CL:0000895,CL:0000897,CL:0000934,CL:0001043,CL:0001044,CL:0000545,CL:0000546,CL:0000899,CL:0001042,CL:0002038,CL:0000903,CL:0000904,CL:0000905,CL:0002677,CL:0002678,CL:4033038	ENSG00000068366	5408	0	0	0.000000	0.000000	0.000000
breast	luminal_mammary_epithelial_cell	CL:0002326,CL:4033057,CL:4033058	ENSG00000137936	588	661862	31614	4.776524	1.422520	0.196246
breast	urothelial_cell	CL:0000731,CL:1001428,CL:1000486,CL:1000703,CL:4030055,CL:4030056	ENSG00000137936	588	0	0	0.000000	0.000000	0.000000
breast	cd4_tcell	CL:0000624,CL:0000492,CL:0000896,CL:0000792,CL:0000895,CL:0000897,CL:0000934,CL:0001043,CL:0001044,CL:0000545,CL:0000546,CL:0000899,CL:0001042,CL:0002038,CL:0000903,CL:0000904,CL:0000905,CL:0002677,CL:0002678,CL:4033038	ENSG00000137936	588	44645	88	0.197111	1.588574	0.036394
blood	luminal_mammary_epithelial_cell	CL:0002326,CL:4033057,CL:4033058	ENSG00000137936	588	0	0	0.000000	0.000000	0.000000
blood	urothelial_cell	CL:0000731,CL:1001428,CL:1000486,CL:1000703,CL:4030055,CL:4030056	ENSG00000137936	588	0	0	0.000000	0.000000	0.000000
blood	cd4_tcell	CL:0000624,CL:0000492,CL:0000896,CL:0000792,CL:0000895,CL:0000897,CL:0000934,CL:0001043,CL:0001044,CL:0000545,CL:0000546,CL:0000899,CL:0001042,CL:0002038,CL:0000903,CL:0000904,CL:0000905,CL:0002677,CL:0002678,CL:4033038	ENSG00000137936	588	1350506	227	0.016809	1.649424	0.007614
ureter	luminal_mammary_epithelial_cell	CL:0002326,CL:4033057,CL:4033058	ENSG00000137936	588	0	0	0.000000	0.000000	0.000000
ureter	urothelial_cell	CL:0000731,CL:1001428,CL:1000486,CL:1000703,CL:4030055,CL:4030056	ENSG00000137936	588	24813	790	3.183815	0.648480	0.070196
ureter	cd4_tcell	CL:0000624,CL:0000492,CL:0000896,CL:0000792,CL:0000895,CL:0000897,CL:0000934,CL:0001043,CL:0001044,CL:0000545,CL:0000546,CL:0000899,CL:0001042,CL:0002038,CL:0000903,CL:0000904,CL:0000905,CL:0002677,CL:0002678,CL:4033038	ENSG00000137936	588	0	0	0.000000	0.000000	0.000000
breast	luminal_mammary_epithelial_cell	CL:0002326,CL:4033057,CL:4033058	ENSG00000091831	4485	661862	31312	4.730896	1.857577	0.443522
breast	urothelial_cell	CL:0000731,CL:1001428,CL:1000486,CL:1000703,CL:4030055,CL:4030056	ENSG00000091831	4485	0	0	0.000000	0.000000	0.000000
breast	cd4_tcell	CL:0000624,CL:0000492,CL:0000896,CL:0000792,CL:0000895,CL:0000897,CL:0000934,CL:0001043,CL:0001044,CL:0000545,CL:0000546,CL:0000899,CL:0001042,CL:0002038,CL:0000903,CL:0000904,CL:0000905,CL:0002677,CL:0002678,CL:4033038	ENSG00000091831	4485	44645	32	0.071677	1.479785	0.012199
blood	luminal_mammary_epithelial_cell	CL:0002326,CL:4033057,CL:4033058	ENSG00000091831	4485	0	0	0.000000	0.000000	0.000000
blood	urothelial_cell	CL:0000731,CL:1001428,CL:1000486,CL:1000703,CL:4030055,CL:4030056	ENSG00000091831	4485	0	0	0.000000	0.000000	0.000000
blood	cd4_tcell	CL:0000624,CL:0000492,CL:0000896,CL:0000792,CL:0000895,CL:0000897,CL:0000934,CL:0001043,CL:0001044,CL:0000545,CL:0000546,CL:0000899,CL:0001042,CL:0002038,CL:0000903,CL:0000904,CL:0000905,CL:0002677,CL:0002678,CL:4033038	ENSG00000091831	4485	1350506	594	0.043984	1.818184	0.020441
ureter	luminal_mammary_epithelial_cell	CL:0002326,CL:4033057,CL:4033058	ENSG00000091831	4485	0	0	0.000000	0.000000	0.000000
ureter	urothelial_cell	CL:0000731,CL:1001428,CL:1000486,CL:1000703,CL:4030055,CL:4030056	ENSG00000091831	4485	24813	37	0.149115	0.550814	0.007405
