Protein ID,Gene,GR_1 Intensity,GR_2 Intensity,GR_3 Intensity,IgG_1 Intensity,IgG_2 Intensity,IgG_3 Intensity,GR_vs_IgG_log2 fold change,GR_vs_IgG_p.val,GR_vs_IgG_p.adj,significant
P46087,NOP2,NA,7.61E+04,7.79E+04,NA,NA,NA,1.45,8.28E-02,1.01E-01,FALSE
P38646,HSPA9,3.64E+05,7.54E+04,NA,NA,NA,NA,2.19,9.32E-02,1.13E-01,FALSE
P62750,RPL23A,1.16E+06,1.60E+06,7.79E+05,6.82E+05,6.91E+05,1.80E+05,1.36,9.50E-02,1.15E-01,FALSE
P49327,FASN,NA,3.25E+05,6.64E+04,NA,NA,NA,2.07,9.91E-02,1.19E-01,FALSE
P02538,KRT6A,NA,9.99E+05,9.09E+04,NA,NA,NA,2.77,1.01E-01,1.20E-01,FALSE
O43290,SART1,NA,5.04E+04,6.72E+04,NA,NA,NA,1.18,1.04E-01,1.23E-01,FALSE
P05783,KRT18,1.99E+06,7.00E+05,9.60E+04,NA,5.54E+05,NA,3.24,1.13E-01,1.33E-01,FALSE
P05388,RPLP0,NA,5.15E+05,6.01E+04,NA,NA,NA,2.25,1.15E-01,1.34E-01,FALSE
P62269,RPS18,NA,1.22E+06,2.40E+05,NA,4.59E+04,NA,2.85,1.15E-01,1.34E-01,FALSE
P02533,KRT14,8.57E+05,1.62E+06,1.51E+06,1.56E+06,NA,1.92E+05,2.9,1.18E-01,1.35E-01,FALSE
P29692,EEF1D,NA,6.73E+05,6.18E+04,NA,NA,NA,2.39,1.18E-01,1.35E-01,FALSE
Q96PK6,RBM14,NA,1.97E+05,4.59E+04,NA,NA,NA,1.66,1.19E-01,1.36E-01,FALSE
Q00610,CLTC,NA,3.21E+05,4.53E+04,NA,NA,NA,1.88,1.30E-01,1.47E-01,FALSE
P21333,FLNA,NA,8.76E+05,5.21E+04,NA,NA,NA,2.43,1.37E-01,1.54E-01,FALSE
O14950,MYL12B,NA,6.32E+05,3.96E+04,NA,NA,NA,2.15,1.57E-01,1.75E-01,FALSE
P07355,ANXA2,2.21E+05,3.14E+05,NA,NA,6.83E+04,NA,1.97,1.69E-01,1.86E-01,FALSE
P62861,FAU,4.37E+07,3.67E+07,4.08E+07,3.14E+07,3.10E+07,7.92E+06,1.03,1.69E-01,1.86E-01,FALSE
P35527,KRT9,3.14E+07,6.98E+06,2.95E+07,1.75E+07,5.93E+06,5.44E+06,1.17,2.01E-01,2.20E-01,FALSE
P48643,CCT5,NA,7.71E+05,NA,NA,NA,NA,1.83,2.76E-01,2.96E-01,FALSE
P05787,KRT8,NA,6.36E+05,NA,NA,NA,NA,1.74,2.78E-01,2.96E-01,FALSE
P68366,TUBA4A,NA,4.92E+05,NA,NA,NA,NA,1.62,2.80E-01,2.96E-01,FALSE
P13796,LCP1,NA,4.61E+05,NA,NA,NA,NA,1.59,2.81E-01,2.96E-01,FALSE
P09972,ALDOC,NA,3.78E+05,NA,NA,NA,NA,1.49,2.83E-01,2.96E-01,FALSE
